2026-02-26 05:10:12.426547 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:12.429799 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:12.432731 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:12.435091 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:12.443031 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:12.445825 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:13.166318 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:13.170332 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:13.207954 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:13.210769 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:13.213519 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:13.216122 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:13.218688 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:13.655215 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:13.657851 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:13.660365 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:13.662302 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:14.892786 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:14.895347 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:14.934093 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:14.935682 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:14.937332 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:14.938670 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:14.939857 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:15.204503 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
